tratamiento;nutricion;mo;1000granos_gr;rendimiento_grm2;5tallos_hum;5tallos_sec_gr;grano_panicula_gr;granosvanos_panicula
TMO;manual;si;20;618;44;26.8;128;32
TMO;manual;si;23;666;46;28.2;106;12
TMO;manual;si;23;688;44;28.8;133;56
TMO;manual;si;20;678;40;26.2;62;71
TMO;manual;si;24;732;42;27.6;125;25
F130;F130;no;21;680;52;28.6;114;69
F130;F130;no;23;670;62;30.7;171;24
F130;F130;no;21;692;38;25;69;29
F130;F130;no;22;650;48;28.5;119;89
F130;F130;no;23;678;40;26.9;117;36
F130MO;F130;si;23;922;48;28.2;95;32
F130MO;F130;si;22;636;44;27.2;111;30
F130MO;F130;si;27;696;60;32.4;175;59
F130MO;F130;si;24;566;38;25.5;109;14
F130MO;F130;si;21;490;36;24.9;115;32
F100;F100;no;23;958;58;30.8;161;39
F100;F100;no;23;690;58;29.8;129;29
F100;F100;no;21;776;38;25.2;99;44
F100;F100;no;22;624;42;26.4;82;33
F100;F100;no;22;500;54;29.5;121;35
TMO;manual;si;23;618;44;26.7;141;30
TMO;manual;si;25;680;42;27;116;29
TMO;manual;si;25;350;38;25.2;25;86
TMO;manual;si;22;524;30;23.4;77;56
TMO;manual;si;21;354;64;31.8;134;110
F100;F100;no;24;564;50;29.2;140;45
F100;F100;no;25;618;48;28.6;90;26
F100;F100;no;26;622;48;28.3;104;20
F100;F100;no;20;336;42;26.9;123;57
F100;F100;no;22;504;54;30;122;13
T;manual;no;21;588;46;28.1;150;39
T;manual;no;22;518;38;24.8;130;35
T;manual;no;22;466;32;26.9;106;46
T;manual;no;22;528;42;26;92;40
T;manual;no;21;622;36;25.8;65;46
F130MO;F130;si;25;782;44;25.7;112;49
F130MO;F130;si;23;706;44;27.7;169;28
F130MO;F130;si;35;750;38;26.9;211;16
F130MO;F130;si;23;706;52;29;161;34
F130MO;F130;si;24;364;32;23;73;52
F130;F130;no;23;590;48;29.2;62;68
F130;F130;no;25;754;36;25.2;74;38
F130;F130;no;23;574;32;24.5;76;88
F130;F130;no;22;584;32;25;131;34
F130;F130;no;22;628;44;28.8;199;48
F100MO;F100;si;26;472;48;26.7;74;26
F100MO;F100;si;23;744;40;26;67;70
F100MO;F100;si;22;458;40;26.3;94;53
F100MO;F100;si;22;546;40;26.4;85;21
F100MO;F100;si;22;906;36;26;66;25
T;manual;no;23;496;38;25.2;58;63
T;manual;no;25;452;44;27.6;85;48
T;manual;no;22;592;42;27;107;45
T;manual;no;24;424;50;27.3;107;71
T;manual;no;23;418;38;25.3;83;129
F100MO;F100;si;19;476;48;29.5;141;70
F100MO;F100;si;21;376;42;27.7;94;102
F100MO;F100;si;24;748;48;29.1;126;43
F100MO;F100;si;22;506;38;25.5;108;84
F100MO;F100;si;23;446;38;26;108;107
